date,source,universe_size,spx_close,up_4pct,down_4pct,ratio_5d,ratio_10d,up_25pct_qtr,down_25pct_qtr,up_25pct_month,down_25pct_month,up_50pct_month,down_50pct_month,up_13pct_34d,down_13pct_34d,t2108,pct_above_200sma,pct_above_50sma,pct_above_20sma,advances,declines,new_highs,new_lows,net_advances,rana,ad_line,mcclellan_osc
2025-04-01,backfill,2653,5633.06982421875,180,289,0.3285,0.6213,156,648,82,227,32,38,176.0,1150.0,24.99,31.62,24.05,34.23,1336,1215,46,287,121,47.43,-15587,-19.39
2025-04-02,backfill,2653,5670.97021484375,372,123,0.5395,0.6329,164,603,86,201,30,36,187.0,1045.0,28.53,33.47,27.03,42.22,1849,691,54,93,1158,455.91,-14429,9.48
2025-04-03,backfill,2655,5396.52001953125,72,1541,0.2661,0.4165,142,777,60,344,25,46,145.0,1462.0,18.87,25.69,18.72,19.13,338,2265,44,534,-1927,-740.3,-16356,-25.7
2025-04-04,backfill,2656,5074.080078125,103,1491,0.2159,0.3056,88,946,49,427,24,51,92.0,1697.0,9.41,17.77,9.86,8.21,289,2307,7,677,-2018,-777.35,-18374,-57.5
2025-04-07,backfill,2658,5062.25,208,525,0.2356,0.2546,76,1023,50,491,25,55,78.0,1811.0,7.86,15.58,8.09,6.58,804,1781,6,598,-977,-377.95,-19351,-64.44
2025-04-08,backfill,2659,4982.77001953125,105,864,0.1893,0.231,66,1143,50,499,27,63,67.0,1891.0,6.62,13.8,6.96,5.19,449,2140,5,852,-1691,-653.15,-21042,-83.8
2025-04-09,backfill,2659,5456.89990234375,1934,66,0.5398,0.5397,86,863,61,302,28,50,88.0,1511.0,14.14,21.51,12.97,17.56,2393,217,7,70,2176,833.72,-18866,-25.6
2025-04-10,backfill,2662,5268.0498046875,121,1149,0.6034,0.4611,84,958,58,402,20,51,106.0,1613.0,11.57,17.66,11.34,11.76,422,2168,17,211,-1746,-674.13,-20612,-51.09
2025-04-11,backfill,2662,5363.35986328125,521,120,1.0606,0.5647,111,867,73,317,25,48,125.0,1450.0,15.89,19.68,14.12,18.63,1873,704,27,127,1169,453.63,-19443,-16.25
2025-04-14,backfill,2662,5405.97021484375,415,127,1.331,0.6403,130,793,62,320,30,48,153.0,1357.0,19.53,21.56,16.98,24.31,1905,666,37,81,1239,481.91,-18204,15.03
2025-04-15,backfill,2663,5396.6298828125,206,205,1.9178,0.6532,129,797,59,368,31,46,149.0,1347.0,20.2,22.12,17.72,25.38,1308,1249,41,96,59,23.07,-18145,18.76
2025-04-16,backfill,2663,5275.7001953125,159,360,0.7251,0.5962,120,894,56,375,26,49,163.0,1333.0,19.68,21.18,16.94,24.3,834,1739,39,145,-905,-351.73,-19050,3.12
2025-04-17,backfill,2665,5282.7001953125,293,131,1.6903,0.8069,129,860,56,368,24,47,170.0,1314.0,22.48,22.44,18.65,29.34,1763,779,35,78,984,387.1,-18066,26.67
2025-04-21,backfill,2666,5158.2001953125,147,507,0.9173,1.0136,116,933,47,395,19,51,198.0,1232.0,18.75,19.47,15.75,24.16,580,2014,24,177,-1434,-552.81,-19500,-0.32
