setup,ticker,entry,exit,days,R,mfe_R,mae_R,capture%,entry_px,stop,stop_dist%,stop_ATR,vs_ma20%,vs_ma50%,vs_ma200%,ma20_50_gap%,vs_20dhigh%,pos_52w%,rsi14,atr%,trims,dir,machine_guess,trade_id,machine_guess_v2,guess_v2_conf
,F,2026-06-08,2026-06-10,2,-0.96,-0.08,2.09,,15.27,14.7,3.73,0.78,5.6,18.4,22.2,12.1,-13.2,60.0,55.0,4.9,2,long,Pullback in uptrend,F_2026-06-08_000,Other — 对不上三类,low
,SNDK,2026-06-08,2026-06-09,1,-0.32,1.69,5.29,-19.0,1738.23,1700.0,2.2,0.31,11.6,44.8,223.0,29.7,-6.6,88.0,58.0,7.6,1,long,Long in mixed structure,SNDK_2026-06-08_000,Other — 对不上三类,low
,SQQQ,2026-06-08,2026-06-09,1,9.1,12.14,3.4,75.0,40.43,40.0,1.06,0.22,0.9,-22.7,-38.4,-23.4,-9.8,9.0,43.0,4.8,2,long,Long below MA200 — counter-trend,SQQQ_2026-06-08_000,Counter-trend (below MA200) — 三类之外,high
,SQQQ,2026-06-08,2026-06-09,1,9.11,12.14,3.4,75.0,40.43,40.0,1.06,0.22,0.9,-22.7,-38.4,-23.4,-9.8,9.0,43.0,4.8,2,long,Long below MA200 — counter-trend,SQQQ_2026-06-08_001,Counter-trend (below MA200) — 三类之外,high
,VECO,2026-06-08,2026-06-29,15,0.6,2.05,1.14,29.0,68.72,60.0,12.69,2.28,15.8,36.0,96.2,17.4,5.7,90.0,58.0,6.3,3,long,Pullback in uptrend,VECO_2026-06-08_000,Breakout,high
,BE,2026-06-07,2026-06-09,2,-1.26,3.25,2.12,-39.0,257.23,250.0,2.81,0.29,-9.7,8.6,,20.2,-20.3,79.0,47.0,9.6,1,long,Long in mixed structure,BE_2026-06-07_000,Other — 对不上三类,low
,DOCN,2026-06-07,2026-06-09,2,-1.48,0.81,1.77,-181.0,168.12,160.0,4.83,0.63,4.5,38.0,,32.1,-8.9,91.0,63.0,7.6,1,long,Long in mixed structure,DOCN_2026-06-07_000,Other — 对不上三类,low
,INTC,2026-06-07,2026-06-09,2,-0.17,1.12,1.96,-15.0,108.72,104.0,4.34,0.53,-6.2,22.5,,30.6,-18.1,69.0,44.0,8.9,2,long,Long in mixed structure,INTC_2026-06-07_000,Other — 对不上三类,low
,CRDO,2026-06-04,2026-06-05,1,-0.12,0.42,1.59,-29.0,227.0,210.0,7.49,0.78,12.4,34.7,,19.9,-7.7,82.0,59.0,10.0,1,long,Long in mixed structure,CRDO_2026-06-04_000,Other — 对不上三类,low
,SOXS,2026-06-04,2026-06-08,2,0.62,,,,5.91,5.5,6.94,0.0,-99.3,-99.8,,-66.7,-99.6,0.0,18.0,310.8,3,long,Long in mixed structure,SOXS_2026-06-04_000,Other — 对不上三类,low
,SOXS,2026-06-04,2026-06-05,1,1.12,,,,5.91,5.5,6.94,0.0,-99.3,-99.8,,-66.7,-99.6,0.0,18.0,310.8,1,long,Long in mixed structure,SOXS_2026-06-04_001,Other — 对不上三类,low
,SOXS,2026-06-04,2026-06-08,2,0.0,,,,5.93,5.5,7.25,0.0,-99.3,-99.8,,-66.7,-99.6,0.0,18.0,310.8,1,long,Long in mixed structure,SOXS_2026-06-04_002,Other — 对不上三类,low
,VIAV,2026-06-04,2026-06-05,1,-0.18,0.56,1.27,-32.0,51.83,47.84,7.7,1.04,1.2,12.5,,11.2,-7.1,86.0,58.0,7.2,1,long,Long in mixed structure,VIAV_2026-06-04_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,NET,2026-06-03,2026-06-05,2,-0.93,0.16,2.35,,274.86,263.0,4.31,0.98,24.2,29.7,,4.4,0.1,92.0,67.0,4.6,1,long,Long in mixed structure,NET_2026-06-03_000,Breakout,high
