date,high,low,close
2025-08-27,689.0,-780.0,284.0
2025-08-28,1037.0,-712.0,31.0
2025-08-29,1012.0,-840.0,-205.0
2025-09-02,774.0,-1648.0,-213.0
2025-09-03,1039.0,-927.0,-219.0
2025-09-04,1034.0,-852.0,241.0
2025-09-05,1311.0,-872.0,600.0
2025-09-08,991.0,-386.0,402.0
2025-09-09,932.0,-834.0,206.0
2025-09-10,797.0,-730.0,-13.0
2025-09-11,1040.0,-820.0,100.0
2025-09-12,948.0,-873.0,-303.0
2025-09-15,1139.0,-521.0,-429.0
2025-09-16,785.0,-1053.0,-256.0
2025-09-17,949.0,-711.0,-436.0
2025-09-18,1270.0,-1488.0,96.0
2025-09-19,868.0,-831.0,-581.0
2025-09-22,821.0,-704.0,-73.0
2025-09-23,789.0,-638.0,-305.0
2025-09-24,918.0,-1028.0,-349.0
2025-09-25,745.0,-1032.0,-445.0
2025-09-26,862.0,-1248.0,564.0
2025-09-29,1126.0,-485.0,-91.0
2025-09-30,673.0,-1025.0,-11.0
2025-10-01,868.0,-897.0,190.0
2025-10-02,921.0,-862.0,-349.0
2025-10-03,875.0,-733.0,-130.0
2025-10-06,694.0,-657.0,21.0
2025-10-07,543.0,-697.0,-178.0
2025-10-08,1031.0,-893.0,162.0
2025-10-09,630.0,-963.0,-577.0
2025-10-10,853.0,-1384.0,-619.0
2025-10-13,1374.0,-650.0,60.0
2025-10-14,665.0,-1362.0,-347.0
2025-10-15,1281.0,-1470.0,-204.0
2025-10-16,898.0,-1159.0,-383.0
2025-10-17,931.0,-1331.0,115.0
2025-10-20,1629.0,-520.0,-112.0
2025-10-21,795.0,-650.0,-12.0
2025-10-22,609.0,-871.0,-145.0
2025-10-23,903.0,-1554.0,351.0
2025-10-24,1612.0,-803.0,28.0
2025-10-27,1174.0,-516.0,240.0
2025-10-28,643.0,-741.0,-208.0
2025-10-29,1035.0,-690.0,-145.0
2025-10-30,754.0,-1354.0,-404.0
2025-10-31,501.0,-1098.0,-213.0
2025-11-03,383.0,-895.0,-789.0
2025-11-04,658.0,-1336.0,10.0
2025-11-05,743.0,-1105.0,98.0
2025-11-06,896.0,-571.0,-194.0
2025-11-07,741.0,-971.0,-15.0
2025-11-10,1057.0,-261.0,-21.0
2025-11-11,747.0,-565.0,320.0
2025-11-12,727.0,-591.0,-341.0
